stock_id,name,sector,risk_profile
GGRM,Gudang Garam Tbk.,Consumer Non-Cyclicals,Sedang
GGRP,Gunung Raja Paksi Tbk.,Basic Materials,Tinggi
GHON,Gihon Telekomunikasi Indonesia,Infrastructures,Sedang
GIAA,Garuda Indonesia (Persero) Tbk,Transportation and Logistic,Sedang
GJTL,Gajah Tunggal Tbk.,Consumer Cyclicals,Sedang
GLOB,Globe Kita Terang Tbk.,Consumer Cyclicals,Tinggi
GLVA,Galva Technologies Tbk.,Technology,Sedang
GMFI,Garuda Maintenance Facility Ae,Infrastructures,Sedang
GMTD,Gowa Makassar Tourism Developm,Properties and Real Estate,Sedang
GOLD,Visi Telekomunikasi Infrastruk,Infrastructures,Tinggi
GOLF,Intra Golflink Resorts Tbk.,Consumer Cyclicals,Sedang
GOLL,Golden Plantation Tbk.,Consumer Non-Cyclicals,Rendah
GOOD,Garudafood Putra Putri Jaya Tb,Consumer Non-Cyclicals,Rendah
GOTO,GoTo Gojek Tokopedia Tbk.,Technology,Sedang
GPRA,Perdana Gapuraprima Tbk.,Properties and Real Estate,Sedang
GPSO,Geoprima Solusi Tbk.,Industrials,Tinggi
GRIA,Ingria Pratama Capitalindo Tbk,Properties and Real Estate,Tinggi
GRPH,Griptha Putra Persada Tbk.,Consumer Cyclicals,Tinggi
GRPM,Graha Prima Mentari Tbk.,Consumer Non-Cyclicals,Tinggi
GSMF,Equity Development Investment ,Financials,Tinggi
GTBO,Garda Tujuh Buana Tbk,Energy,Sedang
GTRA,Grahaprima Suksesmandiri Tbk.,Transportation and Logistic,Tinggi
GTSI,GTS Internasional Tbk.,Energy,Sedang
GULA,Aman Agrindo Tbk.,Consumer Non-Cyclicals,Tinggi
GUNA,Gunanusa Eramandiri Tbk.,Consumer Non-Cyclicals,Tinggi
GWSA,Greenwood Sejahtera Tbk.,Consumer Cyclicals,Sedang
GZCO,Gozco Plantations Tbk.,Consumer Non-Cyclicals,Sedang
HADE,Himalaya Energi Perkasa Tbk.,Infrastructures,Tinggi
HAIS,Hasnur Internasional Shipping ,Transportation and Logistic,Sedang
HAJJ,Arsy Buana Travelindo Tbk.,Consumer Cyclicals,Tinggi
HALO,Haloni Jane Tbk.,Healthcare,Tinggi
HATM,Habco Trans Maritima Tbk.,Transportation and Logistic,Sedang
HBAT,Minahasa Membangun Hebat Tbk.,Properties and Real Estate,Tinggi
HDFA,Radana Bhaskara Finance Tbk.,Financials,Tinggi
HDIT,Hensel Davest Indonesia Tbk.,Technology,Tinggi
HDTX,Panasia Indo Resources Tbk.,Consumer Cyclicals,Rendah
HEAL,Medikaloka Hermina Tbk.,Healthcare,Sedang
HELI,Jaya Trishindo Tbk.,Transportation and Logistic,Tinggi
HERO,DFI Retail Nusantara Tbk.,Consumer Non-Cyclicals,Sedang
HEXA,Hexindo Adiperkasa Tbk.,Industrials,Rendah
HGII,Hero Global Investment Tbk.,Infrastructures,Tinggi
HILL,Hillcon Tbk.,Energy,Sedang
HITS,Humpuss Intermoda Transportasi,Energy,Tinggi
HKMU,HK Metals Utama Tbk.,Basic Materials,Sedang
HMSP,H.M. Sampoerna Tbk.,Consumer Non-Cyclicals,Sedang
HOKI,Buyung Poetra Sembada Tbk.,Consumer Non-Cyclicals,Sedang
HOME,Hotel Mandarine Regency Tbk.,Consumer Cyclicals,Sedang
HOMI,Grand House Mulia Tbk.,Properties and Real Estate,Tinggi
HOPE,Harapan Duta Pertiwi Tbk.,Industrials,Tinggi
HOTL,Saraswati Griya Lestari Tbk.,Consumer Cyclicals,Sedang
HRME,Menteng Heritage Realty Tbk.,Consumer Cyclicals,Sedang
HRTA,Hartadinata Abadi Tbk.,Consumer Cyclicals,Sedang
HRUM,Harum Energy Tbk.,Energy,Sedang
HUMI,Humpuss Maritim Internasional ,Energy,Tinggi
HYGN,Ecocare Indo Pasifik Tbk.,Industrials,Sedang
IATA,MNC Energy Investments Tbk.,Energy,Sedang
IBFN,Intan Baru Prana Tbk.,Industrials,Tinggi
IBOS,Indo Boga Sukses Tbk.,Consumer Non-Cyclicals,Tinggi
IBST,Inti Bangun Sejahtera Tbk.,Infrastructures,Sedang
ICBP,Indofood CBP Sukses Makmur Tbk,Consumer Non-Cyclicals,Rendah
ICON,Island Concepts Indonesia Tbk.,Industrials,Tinggi
IDEA,Idea Indonesia Akademi Tbk.,Consumer Cyclicals,Tinggi
IDPR,Indonesia Pondasi Raya Tbk.,Infrastructures,Tinggi
IFII,Indonesia Fibreboard Industry ,Basic Materials,Sedang
IFSH,Ifishdeco Tbk.,Basic Materials,Tinggi
IGAR,Champion Pacific Indonesia Tbk,Basic Materials,Sedang
IIKP,Inti Agri Resources Tbk,Consumer Cyclicals,Rendah
IKAI,Intikeramik Alamasri Industri ,Industrials,Sedang
IKAN,Era Mandiri Cemerlang Tbk.,Consumer Non-Cyclicals,Tinggi
IKBI,Sumi Indo Kabel Tbk.,Industrials,Sedang
IKPM,Ikapharmindo Putramas Tbk.,Healthcare,Sedang
IMAS,Indomobil Sukses Internasional,Consumer Cyclicals,Sedang
IMJS,Indomobil Multi Jasa Tbk.,Transportation and Logistic,Sedang
IMPC,Impack Pratama Industri Tbk.,Industrials,Rendah
