stock_id,name,sector ,sub_sector 
RIGS ,Rig Tenders Indonesia Tbk. ,"Infrastructure, Utilities And Transportation ",Transportation 
RIMO ,Rimo Catur Lestari Tbk. ,"Trade, Services & Investment ",Retail Trade 
RMBA ,Bentoel Internasional Investama Tbk. ,Consumer Goods Industry ,Tobacco Manufacturers 
RODA ,Pikko Land Development Tbk. ,"Property, Real Estate And Building Construction ",Property And Real Estate 
ROTI ,Nippon Indosari Corpindo Tbk. ,Consumer Goods Industry ,Food And Beverages 
RUIS ,Radiant Utama Interinsco Tbk. ,Mining ,Crude Petroleum & Natural Gas Production 
SAFE ,Steady Safe Tbk. ,"Infrastructure, Utilities And Transportation ",Transportation 
SAME ,Sarana Meditama Metropolitan Tbk ,"Trade, Services & Investment ",Healthcare 
SANF ,PT Surya Artha Nusantara Finance ,Finance ,Financial Institution 
SCBD ,Danayasa Arthatama Tbk. ,"Property, Real Estate And Building Construction ",Property And Real Estate 
SCCO ,Supreme Cable Manufacturing & Commerce Tbk. ,Miscellaneous Industry ,Cable 
SCMA ,Surya Citra Media Tbk. ,"Trade, Services & Investment ","Advertising, Printing And Media "
